arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,focus_area,key_findings
2501.09674,"Authenticated Delegation and Authorized AI Agents","[Authors]",2025-01,15+,"Academic",9,"Authorization & Delegation","Framework for authenticated, authorized, auditable delegation of authority to AI agents"
2501.10114,"Infrastructure for AI Agents","Alan Chan et al.",2025-01,20+,"Centre for the Governance of AI",9,"Agent Infrastructure","Three core functions: attribution, interaction shaping, harmful action detection"
2510.25819,"Identity Management for Agentic AI: The new frontier of authorization, authentication, and security for an AI agent world","[Authors]",2025-10,15+,"Academic",10,"Identity & Authorization","Challenges in authentication, authorization, and identity management for AI agents"
2510.11108,"A Vision for Access Control in LLM-based Agent Systems","Xinfeng Li et al.",2025-10,12,"Academic",9,"Access Control Framework","Agent Access Control (AAC) framework for dynamic information governance"
2505.19301,"A Novel Zero-Trust Identity Framework for Agentic AI: Decentralized Authentication and Fine-Grained Access Control","Ken Huang et al.",2025-05,18,"Amazon Web Services, Salesforce, MIT",10,"Zero-Trust Authorization","DIDs, VCs, Fine-grained access control, privilege escalation prevention"
2505.02077,"Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents","[Authors]",2025-05,15+,"Academic",8,"Multi-Agent Security","Inter-agent privilege escalation, authorization challenges"
2510.23883,"Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges","Shrestha Datta et al.",2025-10,25+,"UC Davis",9,"Security Survey","Comprehensive threat taxonomy including privilege escalation attacks"
2504.21034,"SAGA: A Security Architecture for Governing AI Agentic Systems","Georgios Syros et al.",2025-04,14,"Northeastern University",9,"Security Architecture","Cryptographic access control tokens, fine-grained inter-agent control"
2512.00742,"On the Regulatory Potential of User Interfaces for AI Agent Governance","K.J. Kevin Feng et al.",2025-12,12,"University of Washington",7,"Agent Governance","UI design patterns for enforcing transparency and behavioral requirements"
2512.11147,"MiniScope: A Least Privilege Framework for Authorizing Tool Calling Agents","[Authors]",2025-12,10,"Academic",9,"Least Privilege Framework","Hierarchical permission model for minimal agent permissions"
2512.05951,"Trusted AI Agents in the Cloud","[Authors]",2025-12,15,"Academic",8,"Confidential Computing","Secure agent isolation, multi-party security, trust boundaries"
2509.22040,"Your AI, My Shell: Demystifying Prompt Injection Attacks on Agentic AI Coding Editors","Yue Liu et al.",2025-09,12,"Academic",8,"Privilege Escalation via Injection","84% attack success rate, command execution escalation"
2508.03858,"MI9: Agent Intelligence Protocol - Runtime Governance for Agentic AI Systems","Charles L. Wang et al.",2025-08,18,"Academic",9,"Runtime Governance","Continuous authorization monitoring, privilege drift detection"
2511.21990,"A Safety and Security Framework for Real-World Agentic Systems","[Authors]",2025-11,16,"NVIDIA, Academic",8,"Enterprise Agentic Security","Dynamic risk management, contextual authorization"
2510.06445,"A Survey on Agentic Security: Applications, Threats and Defenses","Asif Shahriar et al.",2025-10,30+,"Academic",9,"Security Survey","Privilege escalation in multi-step attack chains, authorization vulnerabilities"
2510.22620,"Breaking Agent Backbones: Evaluating the Security of Backbone LLMs in AI Agents","Julia Bazinska et al.",2025-10,14,"ETH Zurich, Lakera",8,"LLM Security in Agents","bÂ³ benchmark with 194k adversarial attacks"
2507.06323,"Bridging AI and Software Security: A Comparative Vulnerability Assessment of LLM Agent Deployment Paradigms","Tarek Gasmi et al.",2025-07,14,"Academic",8,"Deployment Architecture","3250 attack scenarios, 73.5% success in Function Calling"
2407.19354,"The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies","Feng He et al.",2024-07,25+,"Monash University",7,"LLM Agent Security","Foundational agent security survey (early 2024)"
2510.25445,"Agentic AI: A Comprehensive Survey of Architectures, Applications, and Future Directions","Mohamad Abou Ali et al.",2025-10,30+,"Academic",7,"Agent Architecture & Governance","Symbolic vs Neural paradigms, authorization implications"
2506.04133,"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems","[Authors]",2025-06,20+,"Academic",8,"Trust & Risk Management","Inter-agent trust and authorization models"
