arxiv_id,title,authors,published_date,page_count,relevance,relevance_notes,regulatory_focus,first_author_affiliation
2403.15646,Application of the NIST AI Risk Management Framework to Surveillance Technology,"Nandhini Swaminathan, David Danks",2024-03-22,14,9,Direct application of NIST AI RMF to surveillance systems; structured risk management for compliance,"NIST AI RMF, Risk Management",Carnegie Mellon University
2401.15229,Evolving AI Risk Management: A Maturity Model based on the NIST AI Risk Management Framework,"Ravit Dotan, Borhane Blili-Hamelin, Ravi Madhavan, Jeanna Matthews, Joshua Scarpino",2024-02-13,20,10,Maturity model for NIST AI RMF implementation; guides organizational progression in compliance,"NIST AI RMF, Organizational Governance",Ben-Gurion University
2406.17864,AI Risk Categorization Decoded (AIR 2024): From Government Regulations to Corporate Policies,"Yi Zeng, Kevin Klyman, Andy Zhou, Yu Yang, Minzhou Pan, Ruoxi Jia, Dawn Song, Percy Liang, Bo Li",2024-06-25,22,9,Comprehensive AI risk taxonomy across 8 government policies; 314 risk categories; quantitative metrics,"Regulatory Frameworks, Compliance Requirements",Tsinghua University
2503.05773,"Between Innovation and Oversight: A Cross-Regional Study of AI Risk Management Frameworks in the EU, U.S., UK, and China",Amir Al-Maamari,2025-02-25,18,9,Comparative analysis of global regulatory approaches; governance philosophies across jurisdictions,"EU AI Act, GDPR, Global Regulatory Requirements",University of Cambridge
2507.11546,AI Governance InternationaL Evaluation Index (AGILE Index) 2025,"Yi Zeng, Enmeng Lu, Xiaoyang Guo, Cunqing Huangfu, Jiawei Xie, Yu Chen, Zhengqi Wang, Dongqi Liang, Gongce Cao, Jin Wang, Zizhe Ruan, Xin Guan, Ammar Younas",2025-07-30,81,10,"Evaluates 40 countries; 4 pillars, 17 dimensions, 43 indicators; quantitative governance assessment","Global AI Governance, Compliance Evaluation",Tsinghua University
2503.05937,"The Unified Control Framework: Establishing a Common Foundation for Enterprise AI Governance, Risk Management and Regulatory Compliance","Ian W. Eisenberg, Lucía Gamboa, Eli Sherman",2025-03-07,18,10,42 controls framework; maps to multiple regulatory requirements; operational governance,"Enterprise Governance, Regulatory Compliance, Risk Management",Alignment Research Center
2507.15299,An Overview of the Risk-based Model of AI Governance,Veve Fry,2025-07-21,20,8,"Risk-based governance across Europe, North America, Australia; regulatory strategy","Risk-Based Governance, Regulatory Strategy",University of Cambridge
2509.11332,"A five-layer framework for AI governance: integrating regulation, standards, and certification","Avinash Agarwal, Manisha J. Nene",2025-09-11,17,10,Five-layer framework from regulation to certification; ISO 42001 integration; quantitative standards,"ISO 42001, Certification, Governance Frameworks",NASSCOM
2402.05968,Federated Learning Priorities Under the European Union Artificial Intelligence Act,"Herbert Woisetschläger, Alexander Erben, Bill Marino, Shiqiang Wang, Nicholas D. Lane, Ruben Mayer, Hans-Arno Jacobsen",2024-02-05,13,8,EU AI Act compliance for federated learning; privacy and regulatory alignment,"EU AI Act, GDPR, Privacy Compliance",Technische Universität München
2504.17669,Towards a HIPAA Compliant Agentic AI System in Healthcare,"Subash Neupane, Sudip Mittal, Shahram Rahimi",2025-04-24,8,9,HIPAA compliance framework; attribute-based access control; audit trails; healthcare governance,"HIPAA, Healthcare Compliance, PHI Protection",Old Dominion University
2112.06356,Evaluation of Security Training and Awareness Programs: Review of Current Practices and Guideline,"Asangi Jayatilaka, Nathan Beu, Irina Baetu, Mansooreh Zahedi, M. Ali Babar, Laura Hartley, Winston Lewinsmith",2021-12-12,12,8,Security awareness training evaluation; best practices; organizational compliance measurement,"Security Awareness Training, Compliance Measurement",University of Adelaide
2503.04739,"Responsible Artificial Intelligence Systems: A Roadmap to Society's Trust through Trustworthy AI, Auditability, Accountability, and Governance","Andrés Herrera-Poyatos, Javier Del Ser, Marcos López de Prado, Fei-Yue Wang, Enrique Herrera-Viedma, Francisco Herrera",2025-02-04,22,10,EU AI Act context; accountability and governance; trustworthy AI requirements,"EU AI Act, Accountability, Governance",University of Deusto
2509.03286,Accountability Framework for Healthcare AI Systems: Towards Joint Accountability in Decision Making,"Prachi Bagave, Marcus Westberg, Marijn Janssen, Aaron Yi Ding",2025-09-03,14,9,Healthcare AI accountability; compliance requirements; HIPAA context; shared responsibility,"HIPAA, Healthcare Accountability, Governance",Delft University of Technology
2512.02046,Global AI Governance Overview: Understanding Regulatory Requirements Across Global Jurisdictions,"Mariia Kyrychenko, Mykyta Mudryi, Markiyan Chaklosh",2025-11-26,31,10,Global regulatory requirements; multiple jurisdictions; training data governance,"Global Regulatory Frameworks, Jurisdiction-Specific Requirements",National Technical University of Ukraine
2408.12289,Catalog of General Ethical Requirements for AI Certification,"Nicholas Kluge Corrêa, Julia Maria Mönig",2024-08-22,15,9,Six ethical principles for AI certification; normative and practical guidance; compliance standards,"AI Certification, Ethical Requirements, Standards",Universität Hamburg
2408.12622,"The AI Risk Repository: A Comprehensive Meta-Review, Database, and Taxonomy of Risks From Artificial Intelligence","Peter Slattery, Alexander K. Saeri, Emily A. C. Grundy, Jess Graham, Michael Noetel, Risto Uuk, James Dao, Soroush Pour, Stephen Casper, Neil Thompson",2024-08-14,28,10,777 risks from 43 taxonomies; comprehensive database; causal framework; quantitative risk metrics,"Risk Management, Regulatory Requirements, Governance",Alignment Research Center
2506.04133,"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems","Shaina Raza, Ranjan Sapkota, Manoj Karkee, Christos Emmanouilidis",2025-06-04,32,9,Enterprise risk management for agentic AI; trust and security frameworks; governance requirements,"Enterprise Risk Management, Security Management, Governance",Washington State University
2412.18670,Interplay of ISMS and AIMS in context of the EU AI Act,Jordan Pötsch,2024-12-24,12,9,Integration of ISMS and AIMS for EU AI Act; ISO/IEC 42001; BSI IT Grundschutz,"EU AI Act, ISO 42001, ISMS-AIMS Integration",Cologne University of Applied Sciences
2410.18095,"Ethical Leadership in the Age of AI: Challenges, Opportunities and Framework for Ethical Leadership",Udaya Chandrika Kandasamy,2024-10-08,15,8,Organizational ethical leadership; governance models; stakeholder engagement,"Organizational Governance, Ethical Leadership, Compliance Culture",GITAM Deemed to be University
2508.03970,"Data and AI governance: Promoting equity, ethics, and fairness in large language models","Alok Abhishek, Lisa Erickson, Tushar Bandopadhyay",2025-08-05,8,8,Data and AI governance lifecycle; bias mitigation; regulatory compliance; ethical requirements,"Data Governance, Regulatory Compliance, Ethical AI",MIT
2504.18236,Two Means to an End Goal: Connecting Explainability and Contestability in the Regulation of Public Sector AI,"Timothée Schmude, Mireia Yurrita, Kars Alfrink, Thomas Le Goff, Sebastian Tschiatschek, Tiphaine Viard",2025-04-25,19,8,Explainability and contestability as regulatory requirements; public sector compliance,"Public Sector Governance, Regulatory Requirements, Compliance Mechanisms",European Commission
2412.04683,From Principles to Practice: A Deep Dive into AI Ethics and Regulations,"Nan Sun, Yuantian Miao, Hao Jiang, Ming Ding, Jun Zhang",2024-12-06,18,9,EU AI Act implementation; ethical principles operationalization; governance strategy,"EU AI Act, Ethical Principles, Regulatory Implementation",Tsinghua University
