category,tier,title,authors,date,arxiv_id,file,topics,immutability,ai_llm,ebpf,gitops,serverless,url
Container Security,1,BEACON: Automatic Container Policy Generation using Environment-aware Dynamic Analysis,"Haney Kang, Eduard Marin, Myoungsung You, Diego Perino, Seungwon Shin",2025-11-29,2512.00414v1,Q1_1_2512.00414v1.pdf,"Dynamic analysis, Policy generation, Container hardening",5,3,2,1,1,http://arxiv.org/abs/2512.00414v1
Container Security,1,GenSIaC: Toward Security-Aware Infrastructure-as-Code Generation with Large Language Models,"Yikun Li, Matteo Grella, Daniel Nahmias, Gal Engelberg, Dan Klein",2025-11-15,2511.12385v1,Q1_2_2511.12385v1.pdf,"LLM, IaC security, Automated generation",4,5,1,4,1,http://arxiv.org/abs/2511.12385v1
Container Security,3,A High-performance Real-time Container File Monitoring Approach Based on Virtual Machine Introspection,"Kai Tan, Dongyang Zhan, Lin Ye, Hongli Zhang, Binxing Fang",2025-09-19,2509.16030v1,Q1_3_2509.16030v1.pdf,"VMI, Real-time monitoring, Container security",3,1,1,1,1,http://arxiv.org/abs/2509.16030v1
Container Security,2,"Locked In, Leaked Out: Measuring Isolation via Kernel Locks","Anjali, Michael M. Swift",2025-07-28,2507.21248v1,Q1_4_2507.21248v1.pdf,"Container isolation, Kernel locks, Side channels",3,1,2,1,1,http://arxiv.org/abs/2507.21248v1
Container Security,3,Docker under Siege: Securing Containers in the Modern Era,"Gogulakrishnan Thiyagarajan, Prabhudarshi Nayak",2025-05-31,2506.02043v1,Q1_5_2506.02043v1.pdf,"Docker security, Best practices, Threat mitigation",3,1,1,2,1,http://arxiv.org/abs/2506.02043v1
Container Security,3,Teaching an Old LLM Secure Coding: Localized Preference Optimization on Distilled Preferences,"Mohammad Saqib Hasan, Saikat Chakraborty, Santu Karmaker, Niranjan Balasubramanian",2025-05-31,2506.00419v2,Q1_6_2506.00419v2.pdf,"LLM training, Secure coding, Preference optimization",2,5,1,1,1,http://arxiv.org/abs/2506.00419v2
Container Security,3,Managing Security Issues in Software Containers: From Practitioners Perspective,"Maha Sroor, Rahul Mohanani, Ricardo Colomo-Palacios, Sandun Dasanayake, Tommi Mikkonen",2025-04-10,2504.07707v1,Q1_7_2504.07707v1.pdf,"Practitioner insights, Container security, Best practices",3,1,1,2,1,http://arxiv.org/abs/2504.07707v1
Container Security,3,Advancing DevSecOps in SMEs: Challenges and Best Practices for Secure CI/CD Pipelines,"Jayaprakashreddy Cheenepalli, John D. Hastings, Khandaker Mamun Ahmed, Chad Fenner",2025-03-28,2503.22612v1,Q1_8_2503.22612v1.pdf,"DevSecOps, CI/CD security, SME challenges",3,1,1,3,1,http://arxiv.org/abs/2503.22612v1
Container Security,2,LLMSecConfig: An LLM-Based Approach for Fixing Software Container Misconfigurations,"Ziyang Ye, Triet Huynh Minh Le, M. Ali Babar",2025-02-04,2502.02009v1,Q1_9_2502.02009v1.pdf,"LLM, Misconfiguration remediation, Automation",4,5,1,2,1,http://arxiv.org/abs/2502.02009v1
Attack Surface,3,Holographic Projection and Cyber Attack Surface: A Physical Analogy for Digital Security,"Ricardo Queiroz de Araujo Fernandes, Anderson Santos, Daniel Maier de Carvalho, André Luiz Bandeira Molina",2025-07-03,2507.03136v1,Q2_3_2507.03136v1.pdf,"Attack surface visualization, Security framework",2,1,1,1,1,http://arxiv.org/abs/2507.03136v1
Attack Surface,3,Combined Static Analysis and Machine Learning Prediction for Application Debloating,"Chris Porter, Sharjeel Khan, Kangqi Ni, Santosh Pande",2024-03-30,2404.00196v1,Q2_7_2404.00196v1.pdf,"ML, Application debloating, Minimal images",3,4,1,1,1,http://arxiv.org/abs/2404.00196v1
Runtime Security,3,Towards a Multi-Layer Defence Framework for Securing Near-Real-Time Operations in Open RAN,"Hamed Alimohammadi, Samara Mayhoub, Sotiris Chatzimiltis, Mohammad Shojafar, Muhammad Nasir Mumtaz Bhutta",2025-12-01,2512.01596v1,Q3_1_2512.01596v1.pdf,"Multi-layer defense, Open RAN, Real-time security",3,2,3,1,1,http://arxiv.org/abs/2512.01596v1
Runtime Security,1,eBPF-PATROL: Protective Agent for Threat Recognition and Overreach Limitation using eBPF in Containerized and Virtualized Environments,"Sangam Ghimire, Nirjal Bhurtel, Roshan Sahani, Sudan Jha",2025-11-22,2511.18155v1,Q3_2_2511.18155v1.pdf,"eBPF, Runtime security, Threat detection, Containers",5,1,5,1,1,http://arxiv.org/abs/2511.18155v1
Runtime Security,3,SEE++: Evolving Snowpark Execution Environment for Modern Workloads,"Gaurav Jain, Brandon Baker, Joe Yin, Chenwei Xie, Zihao Ye",2025-11-16,2511.12457v1,Q3_3_2511.12457v1.pdf,"Execution environment, Snowpark, Workload isolation",2,2,1,1,2,http://arxiv.org/abs/2511.12457v1
Runtime Security,3,Pack-A-Mal: A Malware Analysis Framework for Open-Source Packages,"Duc-Ly Vu, Thanh-Cong Nguyen, Minh-Khanh Vu, Ngoc-Thanh Nguyen, Kim-Anh Do Thi",2025-11-13,2511.09957v1,Q3_4_2511.09957v1.pdf,"Malware analysis, Package security, Supply chain",2,3,1,1,1,http://arxiv.org/abs/2511.09957v1
Runtime Security,3,Investigating the Impact of Isolation on Synchronized Benchmarks,"Nils Japke, Furat Hamdan, Diana Baumann, David Bermbach",2025-11-05,2511.03533v1,Q3_5_2511.03533v1.pdf,"Isolation mechanisms, Benchmarking, Performance",3,1,1,1,2,http://arxiv.org/abs/2511.03533v1
Runtime Security,2,WebAssembly and Unikernels: A Comparative Study for Serverless at the Edge,"Valerio Besozzi, Enrico Fiasco, Marco Danelutto, Patrizio Dazzi",2025-09-11,2509.09400v1,Q3_6_2509.09400v1.pdf,"WebAssembly, Unikernels, Serverless, Edge computing",3,1,1,1,5,http://arxiv.org/abs/2509.09400v1
Runtime Security,3,Prompt Injection 2.0: Hybrid AI Threats,"Jeremy McHugh, Kristina Šekrst, Jon Cefalu",2025-07-17,2507.13169v1,Q3_8_2507.13169v1.pdf,"AI security, Prompt injection, Hybrid threats",2,5,1,1,2,http://arxiv.org/abs/2507.13169v1
Runtime Security,3,Performance Characterization of Containers in Edge Computing,"Ragini Gupta, Klara Nahrstedt",2025-05-04,2505.02082v2,Q3_9_2505.02082v2.pdf,"Edge computing, Container performance, Characterization",3,1,2,1,2,http://arxiv.org/abs/2505.02082v2
GitOps & IaC,2,GITER: A Git-Based Declarative Exchange Model Using Kubernetes-Style Custom Resources,Christos Tranoris,2025-11-06,2511.04182v1,Q4_4_2511.04182v1.pdf,"GitOps, Declarative infrastructure, CRDs",4,1,1,5,1,http://arxiv.org/abs/2511.04182v1
GitOps & IaC,1,Automated Cloud Infrastructure-as-Code Reconciliation with AI Agents,"Zhenning Yang, Hui Guan, Victor Nicolet, Brandon Paulsen, Joey Dodds",2025-10-23,2510.20211v1,Q4_5_2510.20211v1.pdf,"AI agents, Drift detection, Reconciliation, IaC",5,5,1,4,1,http://arxiv.org/abs/2510.20211v1
GitOps & IaC,2,The Hidden Dangers of Public Serverless Repositories: An Empirical Security Assessment,"Eduard Marin, Jinwoo Kim, Alessio Pavoni, Mauro Conti, Roberto Di Pietro",2025-10-20,2510.17311v1,Q4_6_2510.17311v1.pdf,"Serverless security, Public repositories, Empirical study",2,1,1,3,4,http://arxiv.org/abs/2510.17311v1
GitOps & IaC,3,Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code,"Rana Nameer Hussain Khan, Dawood Wasif, Jin-Hee Cho, Ali Butt",2025-10-04,2510.03902v1,Q4_7_2510.03902v1.pdf,"Multi-agent systems, IaC generation, Reliability",4,5,1,3,1,http://arxiv.org/abs/2510.03902v1
GitOps & IaC,3,Detection of security smells in IaC scripts through semantics-aware code and language processing,"Aicha War, Adnan A. Rawass, Abdoul K. Kabore, Jordan Samhi, Jacques Klein",2025-09-23,2509.18790v1,Q4_8_2509.18790v1.pdf,"NLP, Security smells, IaC validation",3,4,1,4,1,http://arxiv.org/abs/2509.18790v1
GitOps & IaC,1,Security smells in infrastructure as code: a taxonomy update beyond the seven sins,"Aicha War, Serge L. B. Nikiema, Jordan Samhi, Jacques Klein, Tegawende F. Bissyande",2025-09-23,2509.18761v1,Q4_9_2509.18761v1.pdf,"Security smells, IaC anti-patterns, Taxonomy",4,2,1,5,1,http://arxiv.org/abs/2509.18761v1
GitOps & IaC,3,Accelerating Control Systems with GitOps: A Path to Automation and Reliability,"M. Gonzalez, M. Acosta",2025-11-07,2511.05663v1,Q4_3_2511.05663v1.pdf,"GitOps, Control systems, Automation",4,1,1,5,1,http://arxiv.org/abs/2511.05663v1
Serverless Security,3,Metronome: Differentiated Delay Scheduling for Serverless Functions,"Zhuangbin Chen, Juzheng Zheng, Zibin Zheng",2025-12-05,2512.05703v1,Q5_1_2512.05703v1.pdf,"Serverless scheduling, Cold start, Performance",2,1,1,1,4,http://arxiv.org/abs/2512.05703v1
Serverless Security,3,SERFLOW: A Cross-Service Cost Optimization Framework for SLO-Aware Dynamic ML Inference,"Zongshun Zhang, Ibrahim Matta",2025-10-31,2510.27182v1,Q5_2_2510.27182v1.pdf,"ML inference, Cost optimization, Serverless",2,3,1,1,4,http://arxiv.org/abs/2510.27182v1
Serverless Security,3,Dynamic Function Configuration and its Management in Serverless Computing: A Taxonomy and Future Directions,"Siddharth Agarwal, Maria A. Rodriguez, Rajkumar Buyya",2025-10-02,2510.02404v1,Q5_5_2510.02404v1.pdf,"Function configuration, Serverless, Taxonomy",3,2,1,2,5,http://arxiv.org/abs/2510.02404v1
Serverless Security,3,"Characterizing FaaS Workflows on Public Clouds: The Good, the Bad and the Ugly","Varad Kulkarni, Nikhil Reddy, Tuhin Khare, Abhinandan S. Prasad, Chitra Babu",2025-09-27,2509.23013v1,Q5_6_2509.23013v1.pdf,"FaaS workflows, Empirical study, Cloud security",2,1,1,1,5,http://arxiv.org/abs/2509.23013v1
Serverless Security,2,A Comprehensive Review of Denial of Wallet Attacks in Serverless Architectures,"Mark Dorsett, Scott Mann, Jabed Chowdhury, Abdun Mahmood",2025-08-24,2508.19284v1,Q5_9_2508.19284v1.pdf,"Denial of wallet, Economic attacks, Serverless",2,1,1,1,5,http://arxiv.org/abs/2508.19284v1
