ArXiv_ID,Title,Published_Date,Filename,Size_MB
2509.11668v1,Cyber Attack Mitigation Framework for Denial of Service (DoS) Attacks in Fog Computing,2025-09-15 08:09:23+00:00,2509_11668v1_Cyber Attack Mitigation Framework for Denial of Service (DoS) Attacks in Fog Computing.pdf,1.69
2509.12291v1,Collaborative P4-SDN DDoS Detection and Mitigation with Early-Exit Neural Networks,2025-09-15 10:43:29+00:00,2509_12291v1_Collaborative P4-SDN DDoS Detection and Mitigation with Early-Exit Neural Networks.pdf,0.25
2509.15555v1,Hybrid Deep Learning-Federated Learning Powered Intrusion Detection System for IoT/5G Advanced Edge Computing Network,2025-09-19 03:23:51+00:00,2509_15555v1_Hybrid Deep Learning-Federated Learning Powered Intrusion Detection System for IoT_5G Advanced Edge .pdf,1.81
2509.16038v1,ConCap: Practical Network Traffic Generation for Flow-based Intrusion Detection Systems,2025-09-19 14:47:01+00:00,2509_16038v1_ConCap_ Practical Network Traffic Generation for Flow-based Intrusion Detection Systems.pdf,2.28
2509.16625v4,Self-Supervised Learning of Graph Representations for Network Intrusion Detection,2025-09-20 11:02:50+00:00,2509_16625v4_Self-Supervised Learning of Graph Representations for Network Intrusion Detection.pdf,1.46
2509.20411v2,Adversarial Defense in Cybersecurity: A Systematic Review of GANs for Threat Detection and Mitigation,2025-09-24 07:17:57+00:00,2509_20411v2_Adversarial Defense in Cybersecurity_ A Systematic Review of GANs for Threat Detection and Mitigatio.pdf,1.27
2509.20767v1,ExpIDS: A Drift-adaptable Network Intrusion Detection System With Improved Explainability,2025-09-25 05:47:42+00:00,2509_20767v1_ExpIDS_ A Drift-adaptable Network Intrusion Detection System With Improved Explainability.pdf,0.37
2509.21389v2,Towards Adapting Federated & Quantum Machine Learning for Network Intrusion Detection: A Survey,2025-09-24 01:39:34+00:00,2509_21389v2_Towards Adapting Federated & Quantum Machine Learning for Network Intrusion Detection_ A Survey.pdf,2.94
2510.00572v2,IntrusionX: A Hybrid Convolutional-LSTM Deep Learning Framework with Squirrel Search Optimization for Network Intrusion Detection,2025-10-01 06:51:25+00:00,2510_00572v2_IntrusionX_ A Hybrid Convolutional-LSTM Deep Learning Framework with Squirrel Search Optimization fo.pdf,0.68
2510.02236v1,PUL-Inter-slice Defender: An Anomaly Detection Solution for Distributed Slice Mobility Attacks,2025-10-02 17:24:17+00:00,2510_02236v1_PUL-Inter-slice Defender_ An Anomaly Detection Solution for Distributed Slice Mobility Attacks.pdf,2.48
2510.02349v1,An Investigation into the Performance of Non-Contrastive Self-Supervised Learning Methods for Network Intrusion Detection,2025-09-27 12:36:17+00:00,2510_02349v1_An Investigation into the Performance of Non-Contrastive Self-Supervised Learning Methods for Networ.pdf,0.65
2510.07109v1,GNN-enhanced Traffic Anomaly Detection for Next-Generation SDN-Enabled Consumer Electronics,2025-10-08 15:01:40+00:00,2510_07109v1_GNN-enhanced Traffic Anomaly Detection for Next-Generation SDN-Enabled Consumer Electronics.pdf,2.81
2510.07171v1,A multi-layered embedded intrusion detection framework for programmable logic controllers,2025-10-08 16:12:02+00:00,2510_07171v1_A multi-layered embedded intrusion detection framework for programmable logic controllers.pdf,0.72
2510.11898v1,Lightweight CNN-Based Wi-Fi Intrusion Detection Using 2D Traffic Representations,2025-10-13 19:59:24+00:00,2510_11898v1_Lightweight CNN-Based Wi-Fi Intrusion Detection Using 2D Traffic Representations.pdf,2.49
2510.12045v1,Over-Threshold Multiparty Private Set Intersection for Collaborative Network Intrusion Detection,2025-10-14 00:58:58+00:00,2510_12045v1_Over-Threshold Multiparty Private Set Intersection for Collaborative Network Intrusion Detection.pdf,0.83
2510.13136v1,Privacy-Aware Framework of Robust Malware Detection in Indoor Robots: Hybrid Quantum Computing and Deep Neural Networks,2025-10-15 04:25:33+00:00,2510_13136v1_Privacy-Aware Framework of Robust Malware Detection in Indoor Robots_ Hybrid Quantum Computing and D.pdf,1.34
2510.13257v1,GRIDAI: Generating and Repairing Intrusion Detection Rules via Collaboration among Multiple LLM-based Agents,2025-10-15 08:05:38+00:00,2510_13257v1_GRIDAI_ Generating and Repairing Intrusion Detection Rules via Collaboration among Multiple LLM-base.pdf,1.69
2510.17883v2,"From Flows to Words: Can Zero-/Few-Shot LLMs Detect Network Intrusions? A Grammar-Constrained, Calibrated Evaluation on UNSW-NB15",2025-10-18 02:11:50+00:00,"2510_17883v2_From Flows to Words_ Can Zero-_Few-Shot LLMs Detect Network Intrusions A Grammar-Constrained, Calib.pdf",0.30
2510.19761v1,Exploring the Effect of DNN Depth on Adversarial Attacks in Network Intrusion Detection Systems,2025-10-22 16:48:35+00:00,2510_19761v1_Exploring the Effect of DNN Depth on Adversarial Attacks in Network Intrusion Detection Systems.pdf,1.49
2510.23313v2,Network Intrusion Detection: Evolution from Conventional Approaches to LLM Collaboration and Emerging Risks,2025-10-27 13:21:32+00:00,2510_23313v2_Network Intrusion Detection_ Evolution from Conventional Approaches to LLM Collaboration and Emergin.pdf,0.54
2510.25802v1,Attention Augmented GNN RNN-Attention Models for Advanced Cybersecurity Intrusion Detection,2025-10-29 03:47:02+00:00,2510_25802v1_Attention Augmented GNN RNN-Attention Models for Advanced Cybersecurity Intrusion Detection.pdf,0.29
2511.00460v1,Proactive DDoS Detection and Mitigation in Decentralized Software-Defined Networking via Port-Level Monitoring and Zero-Training Large Language Models,2025-11-01 08:57:29+00:00,2511_00460v1_Proactive DDoS Detection and Mitigation in Decentralized Software-Defined Networking via Port-Level .pdf,2.00
2511.00828v1,Towards Ultra-Low Latency: Binarized Neural Network Architectures for In-Vehicle Network Intrusion Detection,2025-11-02 06:47:56+00:00,2511_00828v1_Towards Ultra-Low Latency_ Binarized Neural Network Architectures for In-Vehicle Network Intrusion D.pdf,0.56
2511.03799v1,Temporal Analysis Framework for Intrusion Detection Systems: A Novel Taxonomy for Time-Aware Cybersecurity,2025-11-05 19:03:40+00:00,2511_03799v1_Temporal Analysis Framework for Intrusion Detection Systems_ A Novel Taxonomy for Time-Aware Cyberse.pdf,1.55
2511.04114v1,Automated and Explainable Denial of Service Analysis for AI-Driven Intrusion Detection Systems,2025-11-06 07:01:38+00:00,2511_04114v1_Automated and Explainable Denial of Service Analysis for AI-Driven Intrusion Detection Systems.pdf,0.72
2511.06212v1,RAG-targeted Adversarial Attack on LLM-based Threat Detection and Mitigation Framework,2025-11-09 03:50:17+00:00,2511_06212v1_RAG-targeted Adversarial Attack on LLM-based Threat Detection and Mitigation Framework.pdf,1.82
2511.07793v1,HybridGuard: Enhancing Minority-Class Intrusion Detection in Dew-Enabled Edge-of-Things Networks,2025-11-11 03:19:25+00:00,2511_07793v1_HybridGuard_ Enhancing Minority-Class Intrusion Detection in Dew-Enabled Edge-of-Things Networks.pdf,1.57
2511.08660v1,Binary and Multiclass Cyberattack Classification on GeNIS Dataset,2025-11-11 15:46:14+00:00,2511_08660v1_Binary and Multiclass Cyberattack Classification on GeNIS Dataset.pdf,0.31
2511.09266v1,SecTracer: A Framework for Uncovering the Root Causes of Network Intrusions via Security Provenance,2025-11-12 12:25:36+00:00,2511_09266v1_SecTracer_ A Framework for Uncovering the Root Causes of Network Intrusions via Security Provenance.pdf,3.94
2511.12766v1,"Cybersecurity of High-Altitude Platform Stations: Threat Taxonomy, Attacks and Defenses with Standards Mapping - DDoS Attack Use Case",2025-11-16 20:28:58+00:00,"2511_12766v1_Cybersecurity of High-Altitude Platform Stations_ Threat Taxonomy, Attacks and Defenses with Standar.pdf",3.72
2511.12774v1,Distributed Pulse-Wave Simulator for DDoS Dataset Generation,2025-11-16 20:56:55+00:00,2511_12774v1_Distributed Pulse-Wave Simulator for DDoS Dataset Generation.pdf,2.08
2511.17978v1,Federated Anomaly Detection and Mitigation for EV Charging Forecasting Under Cyberattacks,2025-11-22 08:41:58+00:00,2511_17978v1_Federated Anomaly Detection and Mitigation for EV Charging Forecasting Under Cyberattacks.pdf,0.55
2511.18240v1,Carbon-Aware Intrusion Detection: A Comparative Study of Supervised and Unsupervised DRL for Sustainable IoT Edge Gateways,2025-11-23 00:59:27+00:00,2511_18240v1_Carbon-Aware Intrusion Detection_ A Comparative Study of Supervised and Unsupervised DRL for Sustain.pdf,6.77
2512.00251v1,SD-CGAN: Conditional Sinkhorn Divergence GAN for DDoS Anomaly Detection in IoT Networks,2025-11-28 23:57:51+00:00,2512_00251v1_SD-CGAN_ Conditional Sinkhorn Divergence GAN for DDoS Anomaly Detection in IoT Networks.pdf,1.12
2512.01365v1,Modeling Wavelet Transformed Quantum Support Vector for Network Intrusion Detection,2025-12-01 07:23:20+00:00,2512_01365v1_Modeling Wavelet Transformed Quantum Support Vector for Network Intrusion Detection.pdf,12.68
2512.04855v1,A Novel Trust-Based DDoS Cyberattack Detection Model for Smart Business Environments,2025-12-04 14:37:55+00:00,2512_04855v1_A Novel Trust-Based DDoS Cyberattack Detection Model for Smart Business Environments.pdf,0.98
2512.05069v1,Hybrid Quantum-Classical Autoencoders for Unsupervised Network Intrusion Detection,2025-12-04 18:29:05+00:00,2512_05069v1_Hybrid Quantum-Classical Autoencoders for Unsupervised Network Intrusion Detection.pdf,1.70
2512.07909v1,Agentic Artificial Intelligence for Ethical Cybersecurity in Uganda: A Reinforcement Learning Framework for Threat Detection in Resource-Constrained Environments,2025-12-08 05:44:25+00:00,2512_07909v1_Agentic Artificial Intelligence for Ethical Cybersecurity in Uganda_ A Reinforcement Learning Framew.pdf,4.41
2512.08885v1,Explainable Anomaly Detection for Industrial IoT Data Streams,2025-12-09 18:20:35+00:00,2512_08885v1_Explainable Anomaly Detection for Industrial IoT Data Streams.pdf,2.50
2512.09883v1,ByteShield: Adversarially Robust End-to-End Malware Detection through Byte Masking,2025-12-10 18:13:28+00:00,2512_09883v1_ByteShield_ Adversarially Robust End-to-End Malware Detection through Byte Masking.pdf,1.21
