ArXiv ID,Title,First Author,Year,Pages Est.,Topic,Key Metrics,Institution,PDF URL
2509.03821,Rethinking Tamper-Evident Logging: A High-Performance Co-Designed Auditing System,Rui Zhao,2025,12+,Immutability,"30x performance improvement, <2% log loss",Research Institution,https://arxiv.org/pdf/2509.03821.pdf
2505.17236,LogStamping: A Blockchain-Based Log Auditing Approach for Large-Scale Systems,Md Shariful Islam,2025,10+,Immutability,"Hybrid on-chain/off-chain, IPFS integration",Research Institution,https://arxiv.org/pdf/2505.17236.pdf
2504.07938,Development of a Quantum-Resistant File Transfer System with Blockchain Audit Trail,Ernesto Sola-Thomas,2025,8+,Immutability,"Post-quantum secure, 100% audit trail integrity",Research Institution,https://arxiv.org/pdf/2504.07938.pdf
2412.12814,Evaluating Tamper Resistance of Digital Forensic Artifacts During Event Reconstruction,C̩line Vanini,2024,15+,Immutability,Tamper resistance scoring framework,Research Institution,https://arxiv.org/pdf/2412.12814.pdf
2512.09938,Blockchain-Anchored Audit Trail Model for Transparent Inter-Operator Settlement,Balakumar Ravindranath Kunthu,2025,9+,Immutability,"87% cost reduction, 100% integrity",Industry Research,https://arxiv.org/pdf/2512.09938.pdf
2512.11065,Immutable Explainability: Fuzzy Logic and Blockchain for Verifiable AI,Marcelo Fransoy,2025,8+,Immutability,Complete AI decision traceability,Research Institution,https://arxiv.org/pdf/2512.11065.pdf
2504.10702,Container-Level Energy Observability in Kubernetes Clusters,Bjorn Pijnacker,2025,12+,Container Logging,"10x-100x data volume vs VMs, eBPF-based",European Research,https://arxiv.org/pdf/2504.10702.pdf
2509.04191,KubeGuard: LLM-Assisted Kubernetes Hardening via Configuration Files and Runtime Logs Analysis,Mohammad Shoaib,2025,11+,Container Logging,Heterogeneous log aggregation with LLM,Research Institution,https://arxiv.org/pdf/2509.04191.pdf
2509.02449,KubeIntellect: A Modular LLM-Orchestrated Agent Framework for End-to-End Kubernetes Management,Mohsen Seyedkazemi Ardebili,2025,10+,Container Logging,Full Kubernetes API automation,European Research,https://arxiv.org/pdf/2509.02449.pdf
2507.16109,Resilience Evaluation of Kubernetes in Cloud-Edge Environments via Chaos Engineering,Zihao Chen,2025,9+,Container Logging,Quantified log loss under failure scenarios,Research Institution,https://arxiv.org/pdf/2507.16109.pdf
2401.09960,A Comprehensive Scalable Framework for Cloud-Native Pattern Detection with Enhanced Expressiveness,Research Team,2024,14+,Container Logging,Seconds for large complex pattern queries,Research Institution,https://arxiv.org/pdf/2401.09960.pdf
2505.06701,RuleGenie: SIEM Detection Rule Set Optimization,Akansha Shukla,2025,10+,Compliance,Multi-platform SIEM optimization (Splunk/Sigma/AQL),Israeli Research,https://arxiv.org/pdf/2505.06701.pdf
2508.17851,Logging Requirement for Continuous Auditing of Responsible Machine Learning,Patrick Loic Foalem,2025,8+,Compliance,ML lifecycle audit completeness framework,Research Institution,https://arxiv.org/pdf/2508.17851.pdf
2511.21901,Standardized Threat Taxonomy for AI Security Governance and Regulatory Compliance,Hernan Huwyler,2025,7+,Compliance,Comprehensive AI threat classification,Research Institution,https://arxiv.org/pdf/2511.21901.pdf
2503.02065,Survey Perspective: The Role of Explainable AI in Threat Intelligence,Research Team,2025,18+,Compliance,XAI explainability scores for auditor verification,Research Institution,https://arxiv.org/pdf/2503.02065.pdf
