arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2403.01862,arXiv Query: search_query=&amp;id_list=2403.01862&amp;start=0&amp;max_results=1,"Kashyap Thimmaraju, Saad Hermak, Gábor Rétvári, Stefan Schmid",2024-03-04,16,Unknown,7,"Multi-tenant cloud computing provides great benefits in terms of resource sharing, elastic pricing, and scalability, however, it also changes the security landscape and introduces the need for strong "
2403.12980,arXiv Query: search_query=&amp;id_list=2403.12980&amp;start=0&amp;max_results=1,"Muhammad Waseem, Aakash Ahmad, Peng Liang, Muhammad Azeem Akbar, Arif Ali Khan",2024-03-01,52,Unknown,5,"Containerization in multi-cloud environments has received significant attention in recent years both from academic research and industrial development perspectives. However, there exists no effort to "
2409.13004,arXiv Query: search_query=&amp;id_list=2409.13004&amp;start=0&amp;max_results=1,"Wenqi Wei, Tiansheng Huang, Zachary Yahn, Anoop Singhal, Margaret Loper",2024-09-19,36,Unknown,5,Data poisoning and leakage risks impede the massive deployment of federated learning in the real world. This chapter reveals the truths and pitfalls of understanding two dominating threats: {\em train
2410.18577,arXiv Query: search_query=&amp;id_list=2410.18577&amp;start=0&amp;max_results=1,"Huangbin Liang, Beatriz Moya, Francisco Chinesta, Eleni Chatzi",2024-10-24,29,Unknown,8,Infrastructure systems are critical in modern communities but are highly susceptible to various natural and man-made disasters. Efficient post-disaster recovery requires repair-scheduling approaches u
2412.11302,arXiv Query: search_query=&amp;id_list=2412.11302&amp;start=0&amp;max_results=1,"Trishita Tiwari, G. Edward Suh",2024-12-15,11,Unknown,5,This work quantifies the risk of training data leakage from LLMs (Large Language Models) using sequence-level probabilities. Computing extraction probabilities for individual sequences provides finer-
2412.13314,arXiv Query: search_query=&amp;id_list=2412.13314&amp;start=0&amp;max_results=1,"Tianyu Li, Badrish Chandramouli, Philip A. Bernstein, Samuel Madden",2024-12-17,16,Unknown,6,"Fault-tolerance is critically important in highly-distributed modern cloud applications. Solutions such as Temporal, Azure Durable Functions, and Beldi hide fault-tolerance complexity from developers "
2501.09562,arXiv Query: search_query=&amp;id_list=2501.09562&amp;start=0&amp;max_results=1,"Marco Canini, Theophilus A. Benson, Ricardo Bianchini, Íñigo Goiri, Dejan Kostić",2025-01-16,8,Unknown,8,"AI workloads, often hosted in multi-tenant cloud environments, require vast computational resources but suffer inefficiencies due to limited tenant-provider coordination. Tenants lack infrastructure i"
2501.14763,arXiv Query: search_query=&amp;id_list=2501.14763&amp;start=0&amp;max_results=1,"Souvik Dutta, Suri Brahmaroutu",2024-12-25,7,Unknown,7,"Job scheduling under various constraints to achieve global optimization is a well-studied problem. However, in scenarios that involve time-dependent constraints, such as scheduling backup jobs, achiev"
2502.16344,arXiv Query: search_query=&amp;id_list=2502.16344&amp;start=0&amp;max_results=1,"Yuqing Wang, Xiao Yang",2025-02-22,10,Unknown,7,Cloud computing adoption across industries has revolutionized enterprise operations while introducing significant challenges in compliance management. Organizations must continuously meet evolving reg
2504.03682,arXiv Query: search_query=&amp;id_list=2504.03682&amp;start=0&amp;max_results=1,"Yuqing Wang, Xiao Yang",2025-03-21,9,Unknown,7,"With the rapid expansion of cloud computing applications, optimizing resource allocation has become crucial for improving system performance and cost efficiency. This paper proposes an intelligent res"
2505.03945,arXiv Query: search_query=&amp;id_list=2505.03945&amp;start=0&amp;max_results=1,"Shamnad Mohamed Shaffi, Sunish Vengathattil, Jezeena Nikarthil Sidhick, Resmi Vijayan",2025-05-06,12,Unknown,7,Cloud security concerns have been greatly realized in recent years due to the increase of complicated threats in the computing world. Many traditional solutions do not work well in real-time to detect
2505.07692,arXiv Query: search_query=&amp;id_list=2505.07692&amp;start=0&amp;max_results=1,"Rong Kang, Yanbin Chen, Ye Liu, Fuxin Jiang, Qingshuo Li",2025-05-12,14,Unknown,7,"Multi-tenant architectures enhance the elasticity and resource utilization of NoSQL databases by allowing multiple tenants to co-locate and share resources. However, in large-scale cloud environments,"
2506.01283,arXiv Query: search_query=&amp;id_list=2506.01283&amp;start=0&amp;max_results=1,"Changyuan Lin, Yuanzhi Ma, Mohammad Shahrad",2025-06-02,18,Unknown,6,Unknown
2507.18928,arXiv Query: search_query=&amp;id_list=2507.18928&amp;start=0&amp;max_results=1,"Yufang Li, Yuanbo Zhang, Hanlong Liao, Deke Guo, Guoming Tang",2025-07-25,8,Unknown,6,"A pronounced imbalance in GPU resources exists on campus, where some laboratories own underutilized servers while others lack the compute needed for AI research. GPU sharing can alleviate this dispari"
2509.15653,arXiv Query: search_query=&amp;id_list=2509.15653&amp;start=0&amp;max_results=1,"Yaser Baseri, Abdelhakim Hafid, Arash Habibi Lashkari",2025-09-19,38,Unknown,6,"Quantum Computing (QC) introduces a transformative threat to digital security, with the potential to compromise widely deployed classical cryptographic systems. This survey offers a comprehensive and "
2510.13370,arXiv Query: search_query=&amp;id_list=2510.13370&amp;start=0&amp;max_results=1,"Fernando Castillo, Eduardo Brito, Sebastian Werner, Pille Pullonen-Raudvere, Jonathan Heiss",2025-10-15,15,Unknown,7,"Service Level Agreement (SLA) monitoring in service-oriented environments suffers from inherent trust conflicts when providers self-report metrics, creating incentives to underreport violations. We in"
2510.21173,arXiv Query: search_query=&amp;id_list=2510.21173&amp;start=0&amp;max_results=1,"Víctor Rampérez, Javier Soriano, David Lizcano, Shadi Aljawarneh, Juan A. Lara",2025-10-24,19,Unknown,6,"Cloud computing has been consolidated as a support for the vast majority of current and emerging technologies. However, there are some barriers that prevent the exploitation of the full potential of t"
2511.01862,arXiv Query: search_query=&amp;id_list=2511.01862&amp;start=0&amp;max_results=1,"Vanessa Sochat, Daniel Milroy",2025-10-11,12,Unknown,6,"Cloud is now the leading software and computing hardware innovator, and is changing the landscape of compute to one that is optimized for artificial intelligence and machine learning (AI/ML). Computin"
2511.03533,arXiv Query: search_query=&amp;id_list=2511.03533&amp;start=0&amp;max_results=1,"Nils Japke, Furat Hamdan, Diana Baumann, David Bermbach",2025-11-05,7,Unknown,6,Unknown
