Rank,ArXiv_ID,Title,Year,First_Author,Relevance_Score,Category,Direct_URL
1,2502.03614v1,A Novel Zero-Touch Zero-Trust AI/ML Enablement Framework for IoT Network Security,2025,Sushil Shakya,22.0,cs.LG,https://arxiv.org/abs/2502.03614v1
2,2511.18568v1,Zero-Trust Strategies for O-RAN Cellular Networks: Principles Challenges and Research Directions,2025,Charalampos Katsis,18.0,cs.CR,https://arxiv.org/abs/2511.18568v1
3,2509.09005v1,6G Resilience -- White Paper,2025,Hirley Alves,18.0,eess.SP,https://arxiv.org/abs/2509.09005v1
4,2508.05707v1,System Security Framework for 5G Advanced/6G IoT Integrated Terrestrial Network-Non-Terrestrial Network with AI-Enabled Cloud Security,2025,Sasa Maric,18.0,cs.CR,https://arxiv.org/abs/2508.05707v1
5,2508.04526v3,Policy Design in Zero-Trust Distributed Networks: Challenges and Solutions,2025,Fannya R. Sandjaja,18.0,cs.NI,https://arxiv.org/abs/2508.04526v3
6,2501.09033v1,Adaptive Cybersecurity: Dynamically Retrainable Firewalls for Real-Time Network Protection,2025,Sina Ahmadi,18.0,cs.CR,https://arxiv.org/abs/2501.09033v1
7,2501.06281v1,Autonomous Identity-Based Threat Segmentation in Zero Trust Architectures,2025,Sina Ahmadi,18.0,cs.CR,https://arxiv.org/abs/2501.06281v1
8,2512.19563v1,On Network-Aware Semantic Communication and Edge-Cloud Collaborative Intelligence Systems,2025,Murdadha Nasif,16.0,cs.NI,https://arxiv.org/abs/2512.19563v1
9,2512.10280v1,Graph Neural Network Based Adaptive Threat Detection for Cloud Identity and Access Management Logs,2025,Venkata Tanuja Madireddy,16.0,cs.CR,https://arxiv.org/abs/2512.10280v1
10,2510.21024v1,JSTprove: Pioneering Verifiable AI for a Trustless Future,2025,Jonathan Gold,16.0,cs.CR,https://arxiv.org/abs/2510.21024v1
11,2510.09494v1,The Data Enclave Advantage: A New Paradigm for Least-Privileged Data Access in a Zero-Trust World,2025,Nico Bistolfi,16.0,cs.CR,https://arxiv.org/abs/2510.09494v1
12,2509.18461v1,Zero-Shot Visual Deepfake Detection: Can AI Predict and Prevent Fake Content Before It's Created?,2025,Ayan Sar,16.0,cs.GR,https://arxiv.org/abs/2509.18461v1
13,2508.01863v1,Hard-Earned Lessons in Access Control at Scale: Enforcing Identity and Policy Across Trust Boundaries,2025,Sanjay Singh,16.0,cs.CR,https://arxiv.org/abs/2508.01863v1
14,2506.22745v1,Trusted Routing for Blockchain-Enabled Low-Altitude Intelligent Networks,2025,Sijie He,16.0,cs.NI,https://arxiv.org/abs/2506.22745v1
15,2506.09418v1,Securing Open RAN: A Survey of Cryptographic Challenges and Emerging Solutions for 5G,2025,Ryan Barker,16.0,cs.CR,https://arxiv.org/abs/2506.09418v1
16,2512.18915v1,QoS-Aware Load Balancing in the Computing Continuum via Multi-Player Bandits,2025,Ivan Čilić,16.0,cs.LG,https://arxiv.org/abs/2512.18915v1
17,2512.11527v1,Mini-SFC: A Comprehensive Simulation Framework for Orchestration and Management of Service Function Chains,2025,Xi Wang,16.0,cs.NI,https://arxiv.org/abs/2512.11527v1
18,2512.01549v1,Delta Sum Learning: an approach for fast and global convergence in Gossip Learning,2025,Tom Goethals,16.0,cs.LG,https://arxiv.org/abs/2512.01549v1
19,2512.20423v1,Evasion-Resilient Detection of DNS-over-HTTPS Data Exfiltration: A Practical Evaluation and Toolkit,2025,Adam Elaoumari,12.0,cs.CR,https://arxiv.org/abs/2512.20423v1
20,2512.20489v1,A High-Dimensional Quantum Blockchain Protocol Based on Time-Entanglement,2025,Arzu Aktaş,16.0,cs.CR,https://arxiv.org/abs/2512.20489v1
21,2512.20234v1,Achieving Flexible and Secure Authentication with Strong Privacy in Decentralized Networks,2025,Bin Xie,14.0,cs.CR,https://arxiv.org/abs/2512.20234v1
22,2512.20567v1,Classification using quantum kernels in a radial basis function network,2025,Emily Micklethwaite,14.0,cs.LG,https://arxiv.org/abs/2512.20567v1
23,2512.20600v1,Modeling Economic Systems as Multiport Networks,2025,Coen Hutters,12.0,econ.GN,https://arxiv.org/abs/2512.20600v1
24,2512.20607v1,Saddle-to-Saddle Dynamics Explains A Simplicity Bias Across Neural Network Architectures,2025,Yedi Zhang,12.0,cs.LG,https://arxiv.org/abs/2512.20607v1
25,2512.20407v1,AUDRON: A Deep Learning Framework with Fused Acoustic Signatures for Drone Type Recognition,2025,Rajdeep Chatterjee,14.0,eess.AS,https://arxiv.org/abs/2512.20407v1
26,2512.20431v1,Skin Lesion Classification Using a Soft Voting Ensemble of Convolutional Neural Networks,2025,Abdullah Al Shafi,14.0,cs.CV,https://arxiv.org/abs/2512.20431v1
27,2512.20533v1,Over-the-Air Goal-Oriented Communications,2025,Kyriakos Stylianopoulos,12.0,cs.IT,https://arxiv.org/abs/2512.20533v1
28,2512.20531v1,SirenPose: Dynamic Scene Reconstruction via Geometric Supervision,2025,Kaitong Cai,12.0,cs.CV,https://arxiv.org/abs/2512.20531v1
29,2512.20552v1,Information-theoretic signatures of causality in Bayesian networks and hypergraphs,2025,Sung En Chiang,12.0,cs.IT,https://arxiv.org/abs/2512.20552v1
30,2512.20562v1,Shallow Neural Networks Learn Low-Degree Spherical Polynomials with Learnable Channel Attention,2025,Yingzhen Yang,12.0,cs.LG,https://arxiv.org/abs/2512.20562v1
31,2512.20566v1,Random Gradient-Free Optimization in Infinite Dimensional Spaces,2025,Caio Lins Peixoto,12.0,cs.LG,https://arxiv.org/abs/2512.20566v1
32,2512.20579v1,Spin-induced quadrupole moment based test for eccentric binaries,2025,N. V. Krishnendu,12.0,gr-qc,https://arxiv.org/abs/2512.20579v1
33,2512.20580v1,Programmable Optical Spectrum Shapers as Computing Primitives for Accelerating Convolutional Neural Networks,2025,Georgios Moustakas,12.0,physics.optics,https://arxiv.org/abs/2512.20580v1
34,2512.20582v1,Relu and softplus neural nets as zero-sum turn-based games,2025,Stephane Gaubert,12.0,cs.LG,https://arxiv.org/abs/2512.20582v1
35,2512.20515v1,Modeling Bank Systemic Risk of Emerging Markets under Geopolitical Shocks: Empirical Evidence,2025,Haibo Wang,12.0,econ.GN,https://arxiv.org/abs/2512.20515v1
36,2512.20400v1,Microstructured Electrode-Piezopolymer Interface for Ultrasound Transducers,2025,Spencer Hagen,12.0,physics.med-ph,https://arxiv.org/abs/2512.20400v1
37,2512.20330v1,Branch Learning in MRI: More Data More Models More Training,2025,Yuyang Li,12.0,physics.med-ph,https://arxiv.org/abs/2512.20330v1
38,2512.20225v1,Evaluating Moderation in Online Social Network,2025,Letizia Milli,12.0,cs.CY,https://arxiv.org/abs/2512.20225v1
39,2512.19673v1,Bottom-up Policy Optimization: Your Language Model Policy Secretly Contains Internal Policies,2025,Yuqiao Tan,14.0,cs.LG,https://arxiv.org/abs/2512.19673v1
40,2512.18646v1,Volley Revolver: A Novel Matrix-Encoding Method for Privacy-Preserving Deep Learning,2025,John Chiang,14.0,cs.LG,https://arxiv.org/abs/2512.18646v1
41,2512.16151v1,Artificial Intelligence-Enabled Holistic Design of Catalysts for Carbon Nanotubes,2025,Liu Qian,14.0,cs.AI,https://arxiv.org/abs/2512.16151v1
42,2512.13395v2,Multiband neural network classification of ZTF light curves,2025,Tamás Szklenár,14.0,astro-ph.IM,https://arxiv.org/abs/2512.13395v2
43,2512.10815v1,qs GW quasiparticle and GW-BSE excitation energies,2025,Dario Baum,14.0,physics.chem-ph,https://arxiv.org/abs/2512.10815v1
44,2512.10477v3,Symphony: A Heuristic Normalized Calibrated Advantage Actor and Critic Algorithm,2025,Timur Ishuov,14.0,cs.LG,https://arxiv.org/abs/2512.10477v3
45,2512.09835v1,Predicting the Containment Time of California Wildfires Using Machine Learning,2025,Shashank Bhardwaj,14.0,cs.LG,https://arxiv.org/abs/2512.09835v1
46,2512.09169v1,AI-Driven Expansion and Application of the Alexandria Database,2025,Théo Cavignac,14.0,cs.DL,https://arxiv.org/abs/2512.09169v1
47,2512.17924v1,A curated UK rain radar data set for training and benchmarking nowcasting models,2025,Viv Atureta,14.0,cs.LG,https://arxiv.org/abs/2512.17924v1
48,2512.06966v1,Neuro-Vesicles: Neuromodulation Should Be a Dynamical System Not a Tensor Decoration,2025,Zilin Li,14.0,cs.NE,https://arxiv.org/abs/2512.06966v1
49,2512.04747v1,A Tutorial on Regression Analysis: From Linear Models to Deep Learning,2025,Jingyuan Wang,14.0,cs.LG,https://arxiv.org/abs/2512.04747v1
50,2512.20272v1,HGAN-SDEs: Learning Neural Stochastic Differential Equations,2025,Yuanjian Xu,12.0,cs.LG,https://arxiv.org/abs/2512.20272v1