arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary,downloaded
2410.05306v1,Towards Assuring EU AI Act Compliance and Adversarial Robustness of LLMs,"Tomas Bueno Momcilovic, Beat Buesser, Giulio Zizzo, Mark Purcell, Dian Balta",2024-10-04,N/A,N/A,10.0,"Large language models are prone to misuse and vulnerable to security threats, raising significant safety and security concerns. The European Union's Artificial Intelligence Act seeks to enforce AI robustness in certain contexts, but faces implementat",YES
2510.09613v1,Automating the RMF: Lessons from the FedRAMP 20x Pilot,Isaac Henry Teuscher,2025-09-10,N/A,N/A,10.0,"The U.S. Federal Risk and Authorization Management Program (FedRAMP) has long relied on extensive sets of controls and static documentation to assess cloud systems. However, this manual, point-in-time approach has struggled to keep pace with cloud-na",YES
2407.17374v2,Co-designing an AI Impact Assessment Report Template with AI Practitioners and AI Compliance Experts,"Edyta Bogucka, Marios Constantinides, Sanja Šćepanović, Daniele Quercia",2024-07-24,N/A,N/A,10.0,"In the evolving landscape of AI regulation, it is crucial for companies to conduct impact assessments and document their compliance through comprehensive reports. However, current reports lack grounding in regulations and often focus on specific aspe",YES
2510.01751v1,A cybersecurity AI agent selection and decision support framework,Masike Malatji,2025-10-02,N/A,N/A,10.0,"This paper presents a novel, structured decision support framework that systematically aligns diverse artificial intelligence (AI) agent architectures, reactive, cognitive, hybrid, and learning, with the comprehensive National Institute of Standards ",YES
2408.07933v1,Adapting cybersecurity frameworks to manage frontier AI risks: A defense-in-depth approach,"Shaun Ee, Joe O'Brien, Zoe Williams, Amanda El-Dakhakhni, Michael Aird",2024-08-15,N/A,N/A,10.0,"The complex and evolving threat landscape of frontier AI development requires a multi-layered approach to risk management (""defense-in-depth""). By reviewing cybersecurity and AI frameworks, we outline three approaches that can help identify gaps in t",YES
2505.20311v2,"The EU AI Act, Stakeholder Needs, and Explainable AI: Aligning Regulatory Compliance in a Clinical Decision Support System","Anton Hummel, Håkan Burden, Susanne Stenberg, Jan-Philipp Steghöfer, Niklas Kühl",2025-05-22,N/A,N/A,10.0,"Explainable AI (XAI) is a promising route to comply with the EU AI Act, the first multinational AI regulation. XAI enhances transparency and human oversight of AI systems, especially ''black-box`` models criticized as incomprehensible. Yet discourse ",YES
2510.01281v1,An Analysis of the New EU AI Act and A Proposed Standardization Framework for Machine Learning Fairness,"Mike Teodorescu, Yongxu Sun, Haren N. Bhatia, Christos Makridis",2025-09-30,N/A,N/A,10.0,"The European Union's AI Act represents a crucial step towards regulating ethical and responsible AI systems. However, we find an absence of quantifiable fairness metrics and the ambiguity in terminology, particularly the interchangeable use of the ke",YES
2504.15181v2,Mapping Industry Practices to the EU AI Act's GPAI Code of Practice Safety and Security Measures,"Lily Stelling, Mick Yang, Rokas Gipiškis, Leon Staufer, Ze Shen Chin",2025-04-21,N/A,N/A,10.0,This report provides a detailed comparison between the Safety and Security measures proposed in the EU AI Act's General-Purpose AI (GPAI) Code of Practice (Third Draft) and the current commitments and practices voluntarily adopted by leading AI compa,YES
2408.11249v1,The Dilemma of Uncertainty Estimation for General Purpose AI in the EU AI Act,"Matias Valdenegro-Toro, Radina Stoykova",2024-08-20,N/A,N/A,10.0,The AI act is the European Union-wide regulation of AI systems. It includes specific provisions for general-purpose AI models which however need to be further interpreted in terms of technical standards and state-of-art studies to ensure practical co,YES
2504.20075v1,The EU AI Act in Development Practice: A Pro-justice Approach,"Tomasz Hollanek, Yulu Pi, Dorian Peters, Selen Yakar, Eleanor Drage",2025-04-24,N/A,N/A,10.0,"With the adoption of the EU AI Act, companies must understand and implement its compliance requirements -- an often complex task, especially in areas like risk management and fundamental rights assessments. This paper introduces our High-risk EU AI A",YES
2411.08535v3,The EU AI Act is a good start but falls short,"Chalisa Veesommai Sillberg, Jose Siqueira De Cerqueira, Pekka Sillberg, Kai-Kristian Kemell, Pekka Abrahamsson",2024-11-13,N/A,N/A,10.0,The EU AI Act was created to ensure ethical and safe Artificial Intelligence (AI) development and deployment across the EU. This study aims to identify key challenges and strategies for helping enterprises focus on resources effectively. To achieve t,YES
2410.07959v2,COMPL-AI Framework: A Technical Interpretation and LLM Benchmarking Suite for the EU Artificial Intelligence Act,"Philipp Guldimann, Alexander Spiridonov, Robin Staab, Nikola Jovanović, Mark Vero",2024-10-10,N/A,N/A,10.0,"The EU's Artificial Intelligence Act (AI Act) is a significant step towards responsible AI development, but lacks clear technical interpretation, making it difficult to assess models' compliance. This work presents COMPL-AI, a comprehensive framework",YES
2406.18211v1,AI Cards: Towards an Applied Framework for Machine-Readable AI and Risk Documentation Inspired by the EU AI Act,"Delaram Golpayegani, Isabelle Hupont, Cecilia Panigutti, Harshvardhan J. Pandit, Sven Schade",2024-06-26,N/A,N/A,10.0,"With the upcoming enforcement of the EU AI Act, documentation of high-risk AI systems and their risk management information will become a legal requirement playing a pivotal role in demonstration of compliance. Despite its importance, there is a lack",NO
2508.05464v2,Bench-2-CoP: Can We Trust Benchmarking for EU AI Compliance?,"Matteo Prandi, Vincenzo Suriani, Federico Pierucci, Marcello Galisai, Daniele Nardi",2025-08-07,N/A,N/A,10.0,"The rapid advancement of General Purpose AI (GPAI) models necessitates robust evaluation frameworks, especially with emerging regulations like the EU AI Act and its associated Code of Practice (CoP). Current AI evaluation practices depend heavily on ",NO
2412.18670v1,Interplay of ISMS and AIMS in context of the EU AI Act,Jordan Pötsch,2024-12-24,N/A,N/A,10.0,The EU AI Act (AIA) mandates the implementation of a risk management system (RMS) and a quality management system (QMS) for high-risk AI systems. The ISO/IEC 42001 standard provides a foundation for fulfilling these requirements but does not cover al,NO
2512.21354v1,Reflection-Driven Control for Trustworthy Code Agents,"Bin Wang, Jiazheng Quan, Xingrui Yu, Hansen Hu,  Yuhao",2025-12-22,N/A,N/A,10.0,"Contemporary large language model (LLM) agents are remarkably capable, but they still lack reliable safety controls and can produce unconstrained, unpredictable, and even actively harmful outputs. To address this, we introduce Reflection-Driven Contr",NO
2512.12400v1,Agentic AI for 6G: A New Paradigm for Autonomous RAN Security Compliance,"Sotiris Chatzimiltis, Mahdi Boloursaz Mashhadi, Mohammad Shojafar, Merouane Debbah, Rahim Tafazolli",2025-12-13,N/A,N/A,10.0,"Agentic AI systems are emerging as powerful tools for automating complex, multi-step tasks across various industries. One such industry is telecommunications, where the growing complexity of next-generation radio access networks (RANs) opens up numer",NO
2511.17118v1,Constant-Size Cryptographic Evidence Structures for Regulated AI Workflows,Leo Kao,2025-11-21,N/A,N/A,9.5,"This paper introduces constant-size cryptographic evidence structures, a general abstraction for representing verifiable audit evidence for AI workflows in regulated environments. Each evidence item is a fixed-size tuple of cryptographic fields, desi",YES
2511.21975v1,The Risk-Adjusted Intelligence Dividend: A Quantitative Framework for Measuring AI Return on Investment Integrating ISO 42001 and Regulatory Exposure,Hernan Huwyler,2025-11-26,N/A,N/A,9.5,"Organizations investing in artificial intelligence face a fundamental challenge: traditional return on investment calculations fail to capture the dual nature of AI implementations, which simultaneously reduce certain operational risks while introduc",YES
2406.14758v2,Compliance Cards: Automated EU AI Act Compliance Analyses amidst a Complex AI Supply Chain,"Bill Marino, Yaqub Chaudhary, Yulu Pi, Rui-Jie Yew, Preslav Aleksandrov",2024-06-20,N/A,N/A,9.5,"As the AI supply chain grows more complex, AI systems and models are increasingly likely to incorporate multiple internally- or externally-sourced components such as datasets and (pre-trained) models. In such cases, determining whether or not the agg",YES
2512.13430v1,Weak Enforcement and Low Compliance in PCI~DSS: A Comparative Security Study,"Soonwon Park, John D. Hastings",2025-12-15,N/A,N/A,9.5,"Although credit and debit card data continue to be a prime target for attackers, organizational adherence to the Payment Card Industry Data Security Standard (PCI DSS) remains surprisingly low. Despite prior work showing that PCI DSS can reduce card ",YES
2403.16808v2,Navigating the EU AI Act: A Methodological Approach to Compliance for Safety-critical Products,"J. Kelly, S. Zafar, L. Heidemann, J. Zacchi, D. Espinoza",2024-03-25,N/A,N/A,9.5,"In December 2023, the European Parliament provisionally agreed on the EU AI Act. This unprecedented regulatory framework for AI systems lays out guidelines to ensure the safety, legality, and trustworthiness of AI products. This paper presents a meth",NO
2408.17222v1,How Could Generative AI Support Compliance with the EU AI Act? A Review for Safe Automated Driving Perception,"Mert Keser, Youssef Shoeb, Alois Knoll",2024-08-30,N/A,N/A,9.5,"Deep Neural Networks (DNNs) have become central for the perception functions of autonomous vehicles, substantially enhancing their ability to understand and interpret the environment. However, these systems exhibit inherent limitations such as brittl",NO
2501.04014v1,AICat: An AI Cataloguing Approach to Support the EU AI Act,"Delaram Golpayegani, Harshvardhan J. Pandit, Dave Lewis",2024-12-19,N/A,N/A,9.5,"The European Union's Artificial Intelligence Act (AI Act) requires providers and deployers of high-risk AI applications to register their systems into the EU database, wherein the information should be represented and maintained in an easily-navigabl",NO
2402.14728v2,The European Commitment to Human-Centered Technology: The Integral Role of HCI in the EU AI Act's Success,"André Calero Valdez, Moreen Heine, Thomas Franke, Nicole Jochems, Hans-Christian Jetter",2024-02-22,N/A,N/A,9.5,"The evolution of AI is set to profoundly reshape the future. The European Union, recognizing this impending prominence, has enacted the AI Act, regulating market access for AI-based systems. A salient feature of the Act is to guard democratic and hum",NO
2509.05985v1,"Operationalising AI Regulatory Sandboxes under the EU AI Act: The Triple Challenge of Capacity, Coordination and Attractiveness to Providers",Deirdre Ahern,2025-09-07,N/A,N/A,9.5,The EU AI Act provides a rulebook for all AI systems being put on the market or into service in the European Union. This article investigates the requirement under the AI Act that Member States establish national AI regulatory sandboxes for testing a,NO
2408.11925v1,An Open Knowledge Graph-Based Approach for Mapping Concepts and Requirements between the EU AI Act and International Standards,"Julio Hernandez, Delaram Golpayegani, Dave Lewis",2024-08-21,N/A,N/A,9.5,The many initiatives on trustworthy AI result in a confusing and multipolar landscape that organizations operating within the fluid and complex international value chains must navigate in pursuing trustworthy AI. The EU's AI Act will now shift the fo,NO
2503.23056v2,Achieving Socio-Economic Parity through the Lens of EU AI Act,"Arjun Roy, Stavroula Rizou, Symeon Papadopoulos, Eirini Ntoutsi",2025-03-29,N/A,N/A,9.5,"Unfair treatment and discrimination are critical ethical concerns in AI systems, particularly as their adoption expands across diverse domains. Addressing these challenges, the recent introduction of the EU AI Act establishes a unified legal framewor",NO
2505.17165v1,"A Toolkit for Compliance, a Toolkit for Justice: Drawing on Cross-sectoral Expertise to Develop a Pro-justice EU AI Act Toolkit","Tomasz Hollanek, Yulu Pi, Cosimo Fiorini, Virginia Vignali, Dorian Peters",2025-05-22,N/A,N/A,9.5,The introduction of the AI Act in the European Union presents the AI research and practice community with a set of new challenges related to compliance. While it is certain that AI practitioners will require additional guidance and tools to meet thes,NO
2503.15528v1,Complying with the EU AI Act: Innovations in Explainable and User-Centric Hand Gesture Recognition,"Sarah Seifi, Tobias Sukianto, Cecilia Carbonelli, Lorenzo Servadei, Robert Wille",2025-02-04,N/A,N/A,9.5,"The EU AI Act underscores the importance of transparency, user-centricity, and robustness in AI systems, particularly for high-risk systems. In response, we present advancements in XentricAI, an explainable hand gesture recognition (HGR) system desig",NO
2505.06261v1,Modeling supply chain compliance response strategies based on AI synthetic data with structural path regression: A Simulation Study of EU 2027 Mandatory Labor Regulations,Wei Meng,2025-05-04,N/A,N/A,9.5,"In the context of the new mandatory labor compliance in the European Union (EU), which will be implemented in 2027, supply chain enterprises face stringent working hour management requirements and compliance risks. In order to scientifically predict ",NO
2501.12962v5,It's complicated. The relationship of algorithmic fairness and non-discrimination provisions for high-risk systems in the EU AI Act,Kristof Meding,2025-01-22,N/A,N/A,9.5,"What constitutes a fair decision? This question is not only difficult for humans but becomes more challenging when Artificial Intelligence (AI) models are used. In light of discriminatory algorithmic behaviors, the EU has recently passed the AI Act, ",NO
2510.00084v1,Towards a Framework for Supporting the Ethical and Regulatory Certification of AI Systems,"Fabian Kovac, Sebastian Neumaier, Timea Pahi, Torsten Priebe, Rafael Rodrigues",2025-09-30,N/A,N/A,9.0,"Artificial Intelligence has rapidly become a cornerstone technology, significantly influencing Europe's societal and economic landscapes. However, the proliferation of AI also raises critical ethical, legal, and regulatory challenges. The CERTAIN (Ce",YES
2403.15646v1,Application of the NIST AI Risk Management Framework to Surveillance Technology,"Nandhini Swaminathan, David Danks",2024-03-22,N/A,N/A,9.0,"This study offers an in-depth analysis of the application and implications of the National Institute of Standards and Technology's AI Risk Management Framework (NIST AI RMF) within the domain of surveillance technologies, particularly facial recognit",YES
2401.15229v2,Evolving AI Risk Management: A Maturity Model based on the NIST AI Risk Management Framework,"Ravit Dotan, Borhane Blili-Hamelin, Ravi Madhavan, Jeanna Matthews, Joshua Scarpino",2024-01-26,N/A,N/A,9.0,"Researchers, government bodies, and organizations have been repeatedly calling for a shift in the responsible AI community from general principles to tangible and operationalizable practices in mitigating the potential sociotechnical harms of AI. Fra",NO
2505.18236v1,From Bias to Accountability: How the EU AI Act Confronts Challenges in European GeoAI Auditing,"Natalia Matuszczyk, Craig R. Barnes, Rohit Gupta, Bulent Ozel, Aniket Mitra",2025-05-23,N/A,N/A,9.0,"Bias in geospatial artificial intelligence (GeoAI) models has been documented, yet the evidence is scattered across narrowly focused studies. We synthesize this fragmented literature to provide a concise overview of bias in GeoAI and examine how the ",NO
2508.15680v1,Futurity as Infrastructure: A Techno-Philosophical Interpretation of the AI Lifecycle,"Mark Cote, Susana Aires",2025-08-21,N/A,N/A,9.0,"This paper argues that a techno-philosophical reading of the EU AI Act provides insight into the long-term dynamics of data in AI systems, specifically, how the lifecycle from ingestion to deployment generates recursive value chains that challenge ex",NO
2506.01931v1,Red Teaming AI Policy: A Taxonomy of Avoision and the EU AI Act,"Rui-Jie Yew, Bill Marino, Suresh Venkatasubramanian",2025-06-02,N/A,N/A,9.0,"The shape of AI regulation is beginning to emerge, most prominently through the EU AI Act (the ""AIA""). By 2027, the AIA will be in full effect, and firms are starting to adjust their behavior in light of this new law. In this paper, we present a fram",NO
2511.00061v1,"Adoption of AI-Driven Fraud Detection System in the Nigerian Banking Sector: An Analysis of Cost, Compliance, and Competency","Stephen Alaba John, Joye Ahmed Shonubi, Patience Farida Azuikpe, Victor Oluwatosin Ologun",2025-10-28,N/A,N/A,8.5,"The inception of AI-based fraud detection systems has presented the banking sector across the globe the opportunity to enhance fraud prevention mechanisms. However, the extent of adoption in Nigeria has been slow, fragmented, and inconsistent due to ",YES
2504.16937v1,A Framework for the Assurance of AI-Enabled Systems,"Ariel S. Kapusta, David Jin, Peter M. Teague, Robert A. Houston, Jonathan B. Elliott",2025-04-03,N/A,N/A,8.5,"The United States Department of Defense (DOD) looks to accelerate the development and deployment of AI capabilities across a wide spectrum of defense applications to maintain strategic advantages. However, many common features of AI algorithms that m",YES
2509.22742v1,Societal Capacity Assessment Framework: Measuring Resilience to Inform Advanced AI Risk Management,"Milan Gandhi, Peter Cihon, Owen Larter, Rebecca Anselmetti",2025-09-26,N/A,N/A,8.5,"Risk assessments for advanced AI systems require evaluating both the models themselves and their deployment contexts. We introduce the Societal Capacity Assessment Framework (SCAF), an indicators-based approach to measuring a society's vulnerability,",NO
2504.06293v2,Generative AI Enhanced Financial Risk Management Information Retrieval,"Amin Haeri, Jonathan Vitrano, Mahdi Ghelichi",2025-04-04,N/A,N/A,8.5,"Risk management in finance involves recognizing, evaluating, and addressing financial risks to maintain stability and ensure regulatory compliance. Extracting relevant insights from extensive regulatory documents is a complex challenge requiring adva",NO
2403.07904v3,Addressing the regulatory gap: moving towards an EU AI audit ecosystem beyond the AI Act by including civil society,"David Hartmann, José Renato Laranjeira de Pereira, Chiara Streitbörger, Bettina Berendt",2024-02-26,N/A,N/A,8.5,The European legislature has proposed the Digital Services Act (DSA) and Artificial Intelligence Act (AIA) to regulate platforms and Artificial Intelligence (AI) products. We review to what extent third-party audits are part of both laws and how is a,NO
2409.08390v1,"Automated Cybersecurity Compliance and Threat Response Using AI, Blockchain & Smart Contracts","Lampis Alevizos, Vinh Thong Ta",2024-09-12,N/A,N/A,8.5,"To address the challenges of internal security policy compliance and dynamic threat response in organizations, we present a novel framework that integrates artificial intelligence (AI), blockchain, and smart contracts. We propose a system that automa",NO
2504.06552v2,Understanding Users' Security and Privacy Concerns and Attitudes Towards Conversational AI Platforms,"Mutahar Ali, Arjun Arunasalam, Habiba Farrukh",2025-04-09,N/A,N/A,8.5,"The widespread adoption of conversational AI platforms has introduced new security and privacy risks. While these risks and their mitigation strategies have been extensively researched from a technical perspective, users' perceptions of these platfor",NO
2509.15241v1,M-PACE: Mother Child Framework for Multimodal Compliance,"Shreyash Verma, Amit Kesari, Vinayak Trivedi, Anupam Purwar, Ratnesh Jamidar",2025-09-17,N/A,N/A,8.0,"Ensuring that multi-modal content adheres to brand, legal, or platform-specific compliance standards is an increasingly complex challenge across domains. Traditional compliance frameworks typically rely on disjointed, multi-stage pipelines that integ",YES
2512.11931v1,Mapping AI Risk Mitigations: Evidence Scan and Preliminary AI Risk Mitigation Taxonomy,"Alexander K. Saeri, Sophia Lloyd George, Jess Graham, Clelia D. Lacarriere, Peter Slattery",2025-12-12,N/A,N/A,8.0,"Organizations and governments that develop, deploy, use, and govern AI must coordinate on effective risk mitigation. However, the landscape of AI risk mitigation frameworks is fragmented, uses inconsistent terminology, and has gaps in coverage. This ",YES
2407.10236v2,AI and the Iterable Epistopics of Risk,"Andy Crabtree, Glenn McGarry, Lachlan Urquhart",2024-04-29,N/A,N/A,8.0,"Abstract. The risks AI presents to society are broadly understood to be manageable through general calculus, i.e., general frameworks designed to enable those involved in the development of AI to apprehend and manage risk, such as AI impact assessmen",NO
2503.05787v2,Mapping the Regulatory Learning Space for the EU AI Act,"Dave Lewis, Marta Lasek-Markey, Delaram Golpayegani, Harshvardhan J. Pandit",2025-02-27,N/A,N/A,8.0,The EU AI Act represents the world's first transnational AI regulation with concrete enforcement measures. It builds on existing EU mechanisms for regulating health and safety of products but extends them to protect fundamental rights and to address ,NO
2512.05742v1,Internal Deployment in the EU AI Act,Matteo Pistillo,2025-12-05,N/A,N/A,8.0,"This memorandum analyzes and stress-tests arguments in favor and against the inclusion of internal deployment within the scope of the European Union Artificial Intelligence Act (EU AI Act). In doing so, it aims to offer several possible interpretativ",NO
2502.03468v1,AI Governance in the Context of the EU AI Act: A Bibliometric and Literature Review Approach,"Byeong-Je Kim, Seunghoo Jeong, Bong-Kyung Cho, Ji-Bum Chung",2025-01-08,N/A,N/A,8.0,"The rapid advancement of artificial intelligence (AI) has brought about significant societal changes, necessitating robust AI governance frameworks. This study analyzed the research trends in AI governance within the framework of the EU AI Act. This ",NO
2410.14501v4,Using sensitive data to de-bias AI systems: Article 10(5) of the EU AI Act,Marvin van Bekkum,2024-10-18,N/A,N/A,8.0,"In June 2024, the EU AI Act came into force. The AI Act includes obligations for the provider of an AI system. Article 10 of the AI Act includes a new obligation for providers to evaluate whether their training, validation and testing datasets meet c",NO
2503.05758v1,ADAPT Centre Contribution on Implementation of the EU AI Act and Fundamental Right Protection,"Dave Lewis, Marta Lasek-Markey, Harshvardhan J. Pandit, Delaram Golpayegani, Darren McCabe",2025-02-22,N/A,N/A,8.0,"This document represents the ADAPT Centre's submission to the Irish Department of Enterprise, Trade and Employment (DETE) regarding the public consultation on implementation of the EU AI Act.",NO
2502.16767v1,A Hybrid Approach to Information Retrieval and Answer Generation for Regulatory Texts,"Jhon Rayo, Raul de la Rosa, Mario Garrido",2025-02-24,N/A,N/A,8.0,"Regulatory texts are inherently long and complex, presenting significant challenges for information retrieval systems in supporting regulatory officers with compliance tasks. This paper introduces a hybrid information retrieval system that combines l",NO
2503.05571v1,Compliance of AI Systems,"Julius Schöning, Niklas Kruse",2025-03-07,N/A,N/A,7.5,"The increasing integration of artificial intelligence (AI) systems in various fields requires solid concepts to ensure compliance with upcoming legislation. This paper systematically examines the compliance of AI systems with relevant legislation, fo",YES
2503.10649v1,Measuring Political Preferences in AI Systems: An Integrative Approach,David Rozado,2025-03-04,N/A,N/A,7.5,"Political biases in Large Language Model (LLM)-based artificial intelligence (AI) systems, such as OpenAI's ChatGPT or Google's Gemini, have been previously reported. While several prior studies have attempted to quantify these biases using political",YES
2411.11317v2,Establishing Minimum Elements for Effective Vulnerability Management in AI Software,"Mohamad Fazelnia, Sara Moshtari, Mehdi Mirakhorli",2024-11-18,N/A,N/A,7.5,"In the rapidly evolving field of artificial intelligence (AI), the identification, documentation, and mitigation of vulnerabilities are paramount to ensuring robust and secure systems. This paper discusses the minimum elements for AI vulnerability ma",YES
2505.13895v1,VulCPE: Context-Aware Cybersecurity Vulnerability Retrieval and Management,"Yuning Jiang, Feiyang Shang, Freedy Tan Wei You, Huilin Wang, Chia Ren Cong",2025-05-20,N/A,N/A,7.5,"The dynamic landscape of cybersecurity demands precise and scalable solutions for vulnerability management in heterogeneous systems, where configuration-specific vulnerabilities are often misidentified due to inconsistent data in databases like the N",YES
2502.06656v3,A Frontier AI Risk Management Framework: Bridging the Gap Between Current AI Practices and Established Risk Management,"Simeon Campos, Henry Papadatos, Fabien Roger, Chloé Touzet, Otter Quarks",2025-02-10,N/A,N/A,7.5,"The recent development of powerful AI systems has highlighted the need for robust risk management frameworks in the AI industry. Although companies have begun to implement safety frameworks, current approaches often lack the systematic rigor found in",NO
2507.13391v1,Quantitative Risk Management in Volatile Markets with an Expectile-Based Framework for the FTSE Index,Abiodun Finbarrs Oketunji,2025-07-16,N/A,N/A,7.5,"This research presents a framework for quantitative risk management in volatile markets, specifically focusing on expectile-based methodologies applied to the FTSE 100 index. Traditional risk measures such as Value-at-Risk (VaR) have demonstrated sig",NO
2408.08318v1,First Analysis of the EU Artifical Intelligence Act: Towards a Global Standard for Trustworthy AI?,Marion Ho-Dac,2024-07-31,N/A,N/A,7.5,The EU Artificial Intelligence Act  (AI Act) came into force in the European Union (EU) on 1 August 2024. It is a key piece of legislation both for the citizens at the heart of AI technologies and for the industry active in the internal market. The A,NO
2511.15479v1,Towards a Formal Verification of Secure Vehicle Software Updates,"Martin Slind Hagen, Emil Lundqvist, Alex Phu, Yenan Wang, Kim Strandberg",2025-11-19,N/A,N/A,7.5,"With the rise of software-defined vehicles (SDVs), where software governs most vehicle functions alongside enhanced connectivity, the need for secure software updates has become increasingly critical. Software vulnerabilities can severely impact safe",NO
2407.21494v2,Towards Automated Continuous Security Compliance,"Florian Angermeir, Jannik Fischbach, Fabiola Moyón, Daniel Mendez",2024-07-31,N/A,N/A,7.5,"Context: Continuous Software Engineering is increasingly adopted in highly regulated domains, raising the need for continuous compliance. Adherence to especially security regulations -- a major concern in highly regulated domains -- renders Continuou",NO
2407.02766v1,Balancing Patient Privacy and Health Data Security: The Role of Compliance in Protected Health Information (PHI) Sharing,"Md Al Amin, Hemanth Tummala, Rushabh Shah, Indrajit Ray",2024-07-03,N/A,N/A,7.5,"Protected Health Information (PHI) sharing significantly enhances patient care quality and coordination, contributing to more accurate diagnoses, efficient treatment plans, and a comprehensive understanding of patient history. Compliance with strict ",NO
2511.15763v1,Identifying the Supply Chain of AI for Trustworthiness and Risk Management in Critical Applications,"Raymond K. Sheh, Karen Geappen",2025-11-19,N/A,N/A,7.0,"Risks associated with the use of AI, ranging from algorithmic bias to model hallucinations, have received much attention and extensive research across the AI community, from researchers to end-users. However, a gap exists in the systematic assessment",YES
2507.16534v2,Frontier AI Risk Management Framework in Practice: A Risk Analysis Technical Report,"Shanghai AI Lab,  :, Xiaoyang Chen, Yunhao Chen, Zeren Chen",2025-07-22,N/A,N/A,7.0,"To understand and identify the unprecedented risks posed by rapidly advancing artificial intelligence (AI) models, this report presents a comprehensive assessment of their frontier risks. Drawing on the E-T-C analysis (deployment environment, threat ",NO
2503.15668v1,Model Risk Management for Generative AI In Financial Institutions,"Anwesha Bhattacharyya, Ye Yu, Hanyu Yang, Rahul Singh, Tarun Joshi",2025-03-19,N/A,N/A,7.0,The success of OpenAI's ChatGPT in 2023 has spurred financial enterprises into exploring Generative AI applications to reduce costs or drive revenue within different lines of businesses in the Financial Industry. While these applications offer strong,NO
2404.18183v1,Innovative Application of Artificial Intelligence Technology in Bank Credit Risk Management,"Shuochen Bi, Wenqing Bao",2024-04-28,N/A,N/A,7.0,"With the rapid growth of technology, especially the widespread application of artificial intelligence (AI) technology, the risk management level of commercial banks is constantly reaching new heights. In the current wave of digitalization, AI has bec",NO
2502.16344v1,Machine Learning-Based Cloud Computing Compliance Process Automation,"Yuqing Wang, Xiao Yang",2025-02-22,N/A,N/A,7.0,"Cloud computing adoption across industries has revolutionized enterprise operations while introducing significant challenges in compliance management. Organizations must continuously meet evolving regulatory requirements such as GDPR and ISO 27001, y",NO
